# These data have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.,,,,,,,,,,
#,,,,,,,,,,
#SITE_ABB: A text abbreviation of the site name primarily for use within the National Water Quality Program,,,,,,,,,,
#SITE_QW_ID: Unique USGS station number indicating location where water-quality samples are collected (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text),,,,,,,,,,
#SITE_FLOW_ID: Typically a unique USGS station number indicating location where streamflow data is recorded. In some instances these data are obtained from outside sources--in those cases the site number used by that entity is displayed, if no site number is available an abbreviated indicator of the collecting agency is displayed  (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text) ,,,,,,,,,
#CONSTIT: A character abbreviation indicative of the water-quality constituent being reported. Values include NO3_NO2: nitrate plus nitrite, filtered as N; TN: total nitrogen as N; TP: total phosphorus as P; SSC: suspended-sediment concentration; NH3: ammonia, filtered as N; OP: orthophosphate, filtered, as P; TKN: total Kjeldahl nitrogen, as N; SI: silica, filtered, as SiO2,,,
#WY: A numeric identifier of the water year in which data were recorded.  A water year is defined as the 12-month period October 1, for any given year through September 30, of the following year. The water year is designated by the calendar year in which it ends.,,,,,,,,
#MODTYPE: A character indicator of the type of model used to compute water-quality loads. Values include COMP indicating the composite method; CONTIN indicating loads were computed through the use of continuous nitrate data; DAILY indicating data were computed using daily values (SSC only); REG indicating models were computed using regression methods described in the technical information portion of the website using a 5-year moving window; REG_2; REG_3; REG_4 indicating models were computed using regression methods described in the technical information portion of the website but with a 2 3 or 4-year moving windows (respectively) as opposed to a 5-year moving window; REG_PRELIM indicating that a model was developed using data collecting during the initial 2-4 years in which a site was sampled; models at these sites will continue to be updated until 5 years of data are collected; and REGHIST indicating that models were computed according to procedures described in Aulenbach and others (2007),,,,,,,,,,
#TONS: Annual water-quality load measured in tons,,,,,,,,,,
#TONS_L95: Lower 95 percent confidence interval about the annual water-quality load measured in tons. NA values indicate that confidence intervals were not computed.,,,,,,,,,,
#TONS_U95: Upper 95 percent confidence interval about the annual water-quality load measured in tons. NA values indicate that confidence intervals were not computed.,,,,,,,,,,
#FWC: Flow-weighted constituent concentration in milligrams per liter per year,,,,,,,,,,
#YIELD: Water-quality constituent yield; in tons per square mile; defined as the load divided by the upstream drainage area of the water-quality site.  Yields are not computed (and are listed as NA) for Mississippi and Atchafalaya River sites downstream from the Old River diversion.,,,,,,,,,,
SITE_ABB,SITE_QW_ID,SITE_FLOW_ID,CONSTIT,WY,MODTYPE,TONS,TONS_L95,TONS_U95,FWC,YIELD
GILE,1054200,1054200,NO3_NO2,2013,REG_PRELIM,2.91,1.76,4.67,0.0134,0.0418
GILE,1054200,1054200,NO3_NO2,2014,REG_PRELIM,3.33,1.47,7.02,0.0174,0.0478
GILE,1054200,1054200,NO3_NO2,2015,REG_PRELIM,2.13,1.41,3.16,0.0121,0.0306
GILE,1054200,1054200,NO3_NO2,2016,REG_PRELIM,1.33,0.909,1.95,0.0104,0.0191
COLR,1170100,1170100,NO3_NO2,1993,REG_3,7.14,5.66,9.03,0.0933,0.172
COLR,1170100,1170100,NO3_NO2,1994,REG_3,6.83,5.7,8.21,0.0887,0.165
COLR,1170100,1170100,NO3_NO2,1995,REG_3,5.07,4.15,6.22,0.0997,0.122
COLR,1170100,1170100,NO3_NO2,2001,REG,8.63,6.95,10.7,0.0976,0.208
COLR,1170100,1170100,NO3_NO2,2002,REG,5.93,4.99,7.02,0.103,0.143
COLR,1170100,1170100,NO3_NO2,2003,REG,9.06,7.5,10.9,0.0951,0.219
COLR,1170100,1170100,NO3_NO2,2004,REG,10.8,8.72,13.2,0.0897,0.261
COLR,1170100,1170100,NO3_NO2,2005,REG,8.31,7,9.84,0.097,0.201
COLR,1170100,1170100,NO3_NO2,2006,REG,11.2,9.27,13.5,0.0855,0.271
COLR,1170100,1170100,NO3_NO2,2013,REG_PRELIM,10.5,8.51,12.9,0.106,0.254
COLR,1170100,1170100,NO3_NO2,2014,REG_PRELIM,10.5,8.51,12.8,0.109,0.254
COLR,1170100,1170100,NO3_NO2,2015,REG_PRELIM,7.65,5.97,9.93,0.0949,0.185
COLR,1170100,1170100,NO3_NO2,2016,REG_PRELIM,6.22,4.88,7.83,0.102,0.15
COLR,1170100,1170100,TN,1993,REG_3,21.3,16.9,26.9,0.278,0.514
COLR,1170100,1170100,TN,1994,REG_3,13.8,11.6,16.5,0.179,0.333
COLR,1170100,1170100,TN,1995,REG_3,10.4,9.25,11.7,0.205,0.251
COLR,1170100,1170100,TN,2001,REG,30.2,13.3,61.1,0.342,0.729
COLR,1170100,1170100,TN,2002,REG,12.5,10.4,14.9,0.217,0.302
COLR,1170100,1170100,TN,2003,REG,24.7,18.2,33.1,0.259,0.597
COLR,1170100,1170100,TN,2004,REG,40.1,15.3,88.1,0.333,0.969
COLR,1170100,1170100,TN,2005,REG,15.1,10.6,21,0.176,0.365
COLR,1170100,1170100,TN,2013,REG_PRELIM,26.8,24.3,29.5,0.271,0.647
COLR,1170100,1170100,TN,2014,REG_PRELIM,27,24.7,29.5,0.28,0.652
COLR,1170100,1170100,TN,2015,REG_PRELIM,18,15.3,21.5,0.223,0.435
COLR,1170100,1170100,TN,2016,REG_PRELIM,8.67,7.7,9.72,0.142,0.209
COLR,1170100,1170100,TP,2001,REG,1.48,0.624,3.01,0.0167,0.0357
COLR,1170100,1170100,TP,2002,REG,0.372,0.249,0.54,0.00645,0.00899
COLR,1170100,1170100,TP,2003,REG,1.01,0.593,1.62,0.0106,0.0244
COLR,1170100,1170100,TP,2004,REG,2.07,0.831,4.36,0.0172,0.05
COLR,1170100,1170100,TP,2005,REG,0.726,0.416,1.19,0.00848,0.0175
COLR,1170100,1170100,TP,2006,REG,5.27,0.89,18,0.0402,0.127
COLR,1170100,1170100,TP,2013,REG_PRELIM,5.27,2.63,9.57,0.0533,0.127
COLR,1170100,1170100,TP,2014,REG_PRELIM,4.01,1.39,9.33,0.0415,0.0969
COLR,1170100,1170100,TP,2015,REG_PRELIM,3.12,1.09,8.2,0.0387,0.0754
COLR,1170100,1170100,TP,2016,REG_PRELIM,2.04,NA,NA,0.0334,0.0493
THOM,1184000,1184000,NH3,1993,REG,1840,1280,2560,0.109,0.19
THOM,1184000,1184000,NH3,1994,REG,2120,1680,2640,0.115,0.219
THOM,1184000,1184000,NH3,1995,REG,1450,1120,1830,0.123,0.15
THOM,1184000,1184000,NH3,1996,REG,1810,1330,2410,0.0735,0.187
THOM,1184000,1184000,NH3,1997,REG,1060,726,1490,0.0516,0.11
THOM,1184000,1184000,NH3,1998,REG,906,637,1250,0.0479,0.0938
THOM,1184000,1184000,NH3,1999,REG,609,465,784,0.0439,0.063
THOM,1184000,1184000,NH3,2000,REG,1040,733,1420,0.0528,0.108
THOM,1184000,1184000,NH3,2001,REG,797,671,940,0.0505,0.0825
THOM,1184000,1184000,NH3,2002,REG,493,397,605,0.037,0.051
THOM,1184000,1184000,NH3,2003,REG,729,586,897,0.0458,0.0755
THOM,1184000,1184000,NH3,2004,REG,659,521,822,0.0337,0.0682
THOM,1184000,1184000,NH3,2005,REG,690,533,880,0.0396,0.0714
THOM,1184000,1184000,NH3,2006,REG,784,646,942,0.03,0.0812
THOM,1184000,1184000,NH3,2007,REG,711,548,908,0.0351,0.0736
THOM,1184000,1184000,NH3,2008,REG,746,620,891,0.0323,0.0772
THOM,1184000,1184000,NH3,2009,REG,830,686,996,0.0394,0.0859
THOM,1184000,1184000,NH3,2010,REG,690,580,814,0.0382,0.0714
THOM,1184000,1184000,NH3,2011,REG,889,767,1030,0.0342,0.092
THOM,1184000,1184000,NH3,2012,REG,829,681,1000,0.0488,0.0858
THOM,1184000,1184000,NH3,2013,REG,827,725,940,0.0457,0.0856
THOM,1184000,1184000,NH3,2014,REG,818,702,948,0.0456,0.0847
THOM,1184000,1184000,NH3,2015,REG,773,673,883,0.0486,0.08
THOM,1184000,1184000,NH3,2016,REG,744,647,852,0.0521,0.077
THOM,1184000,1184000,NO3_NO2,1993,REG,5430,4740,6200,0.322,0.562
THOM,1184000,1184000,NO3_NO2,1994,REG,5220,4740,5730,0.282,0.54
THOM,1184000,1184000,NO3_NO2,1995,REG,3750,3330,4210,0.318,0.388
THOM,1184000,1184000,NO3_NO2,1996,REG,6050,5410,6740,0.246,0.626
THOM,1184000,1184000,NO3_NO2,1997,REG,5670,5020,6390,0.276,0.587
THOM,1184000,1184000,NO3_NO2,1998,REG,5340,4820,5890,0.283,0.553
THOM,1184000,1184000,NO3_NO2,1999,REG,4290,3910,4690,0.309,0.444
THOM,1184000,1184000,NO3_NO2,2000,REG,5670,5280,6090,0.288,0.587
THOM,1184000,1184000,NO3_NO2,2001,REG,5350,4820,5930,0.339,0.554
THOM,1184000,1184000,NO3_NO2,2002,REG,3980,3610,4370,0.299,0.412
THOM,1184000,1184000,NO3_NO2,2003,REG,5160,4770,5570,0.324,0.534
THOM,1184000,1184000,NO3_NO2,2004,REG,5740,5260,6250,0.293,0.594
THOM,1184000,1184000,NO3_NO2,2005,REG,5980,5260,6770,0.344,0.619
THOM,1184000,1184000,NO3_NO2,2006,REG,7890,6970,8910,0.302,0.817
THOM,1184000,1184000,NO3_NO2,2007,REG,6360,6040,6700,0.314,0.658
THOM,1184000,1184000,NO3_NO2,2008,REG,6890,6560,7230,0.298,0.713
THOM,1184000,1184000,NO3_NO2,2009,REG,5800,5440,6170,0.275,0.6
THOM,1184000,1184000,NO3_NO2,2010,REG,4670,4350,5010,0.258,0.483
THOM,1184000,1184000,NO3_NO2,2011,REG,5790,5410,6200,0.223,0.599
THOM,1184000,1184000,NO3_NO2,2012,REG,4410,4130,4700,0.259,0.457
THOM,1184000,1184000,NO3_NO2,2013,REG,4830,4640,5030,0.267,0.5
THOM,1184000,1184000,NO3_NO2,2014,REG,5100,4810,5400,0.284,0.528
THOM,1184000,1184000,NO3_NO2,2015,REG,4510,4230,4810,0.284,0.467
THOM,1184000,1184000,NO3_NO2,2016,REG,3740,3470,4030,0.262,0.387
THOM,1184000,1184000,OP,1993,REG,328,198,514,0.0195,0.034
THOM,1184000,1184000,OP,1994,REG,363,273,474,0.0196,0.0376
THOM,1184000,1184000,OP,1995,REG,311,224,421,0.0264,0.0322
THOM,1184000,1184000,OP,1996,REG,399,276,558,0.0162,0.0413
THOM,1184000,1184000,OP,1997,REG,373,228,577,0.0182,0.0386
THOM,1184000,1184000,OP,1998,REG,464,350,603,0.0246,0.048
THOM,1184000,1184000,OP,1999,REG,382,315,459,0.0275,0.0395
THOM,1184000,1184000,OP,2000,REG,354,287,431,0.018,0.0366
THOM,1184000,1184000,OP,2001,REG,269,226,318,0.0171,0.0278
THOM,1184000,1184000,OP,2002,REG,177,143,217,0.0133,0.0183
THOM,1184000,1184000,OP,2003,REG,195,159,238,0.0123,0.0202
THOM,1184000,1184000,OP,2004,REG,136,105,174,0.00695,0.0141
THOM,1184000,1184000,OP,2005,REG,152,107,210,0.00873,0.0157
THOM,1184000,1184000,OP,2006,REG,177,120,253,0.00678,0.0183
THOM,1184000,1184000,OP,2007,REG,201,135,287,0.00992,0.0208
THOM,1184000,1184000,OP,2008,REG,251,194,320,0.0109,0.026
THOM,1184000,1184000,OP,2009,REG,233,194,277,0.0111,0.0241
THOM,1184000,1184000,OP,2010,REG,200,176,227,0.0111,0.0207
THOM,1184000,1184000,OP,2011,REG,293,242,352,0.0113,0.0303
THOM,1184000,1184000,OP,2012,REG,216,180,257,0.0127,0.0224
THOM,1184000,1184000,OP,2013,REG,217,190,247,0.012,0.0225
THOM,1184000,1184000,OP,2014,REG,210,180,244,0.0117,0.0217
THOM,1184000,1184000,OP,2015,REG,186,160,215,0.0117,0.0193
THOM,1184000,1184000,OP,2016,REG,184,153,218,0.0129,0.019
THOM,1184000,1184000,SI,1993,REG,89100,85000,93300,5.28,9.22
THOM,1184000,1184000,SI,1994,REG,98500,94400,103000,5.33,10.2
THOM,1184000,1184000,SI,1995,REG,66500,63400,69700,5.63,6.88
THOM,1184000,1184000,SI,1996,REG,128000,122000,135000,5.2,13.3
THOM,1184000,1184000,SI,1997,REG,113000,108000,118000,5.5,11.7
THOM,1184000,1184000,SI,1998,REG,100000,95400,105000,5.29,10.4
THOM,1184000,1184000,SI,1999,REG,72900,70100,75900,5.26,7.55
THOM,1184000,1184000,SI,2000,REG,110000,105000,114000,5.58,11.4
THOM,1184000,1184000,SI,2001,REG,80800,77600,84100,5.12,8.36
THOM,1184000,1184000,SI,2002,REG,69200,66200,72300,5.19,7.16
THOM,1184000,1184000,SI,2003,REG,83100,78700,87800,5.22,8.6
THOM,1184000,1184000,SI,2004,REG,109000,102000,116000,5.57,11.3
THOM,1184000,1184000,SI,2005,REG,92400,83200,102000,5.31,9.57
THOM,1184000,1184000,SI,2006,REG,154000,139000,169000,5.9,15.9
THOM,1184000,1184000,SI,2007,REG,112000,105000,119000,5.53,11.6
THOM,1184000,1184000,SI,2008,REG,131000,118000,145000,5.67,13.6
THOM,1184000,1184000,SI,2009,REG,129000,123000,135000,6.12,13.4
THOM,1184000,1184000,SI,2010,REG,101000,94700,107000,5.59,10.5
THOM,1184000,1184000,SI,2011,REG,146000,139000,153000,5.62,15.1
THOM,1184000,1184000,SI,2012,REG,103000,98900,107000,6.06,10.7
THOM,1184000,1184000,SI,2013,REG,106000,102000,110000,5.86,11
THOM,1184000,1184000,SI,2014,REG,102000,98100,105000,5.68,10.6
THOM,1184000,1184000,SI,2015,REG,90900,88100,93800,5.71,9.41
THOM,1184000,1184000,SSC,1993,REG_4,865000,294000,2000000,51.3,89.5
THOM,1184000,1184000,SSC,1994,REG_4,1280000,424000,2990000,69.2,133
THOM,1184000,1184000,SSC,1995,REG_4,185000,102000,310000,15.7,19.2
THOM,1184000,1184000,SSC,1997,REG_4,400000,128000,958000,19.5,41.4
THOM,1184000,1184000,SSC,1998,REG_4,387000,33600,1650000,20.5,40.1
THOM,1184000,1184000,SSC,1999,REG_4,382000,239000,582000,27.5,39.5
THOM,1184000,1184000,SSC,2000,REG_4,338000,211000,515000,17.1,35
THOM,1184000,1184000,SSC,2001,REG,271000,164000,422000,17.2,28.1
THOM,1184000,1184000,SSC,2002,REG,160000,113000,219000,12,16.6
THOM,1184000,1184000,SSC,2003,REG,277000,139000,497000,17.4,28.7
THOM,1184000,1184000,SSC,2011,REG,4030000,1680000,8220000,155,417
THOM,1184000,1184000,SSC,2012,REG,482000,291000,753000,28.4,49.9
THOM,1184000,1184000,SSC,2013,REG,817000,453000,1360000,45.2,84.6
THOM,1184000,1184000,SSC,2014,REG,1440000,664000,2750000,80.2,149
THOM,1184000,1184000,SSC,2015,REG,748000,381000,1320000,47,77.4
THOM,1184000,1184000,SSC,2016,REG,397000,152000,853000,27.8,41.1
THOM,1184000,1184000,TN,1993,REG,10200,9410,11100,0.605,1.06
THOM,1184000,1184000,TN,1994,REG,10700,9930,11600,0.579,1.11
THOM,1184000,1184000,TN,1995,REG,7450,6870,8060,0.631,0.771
THOM,1184000,1184000,TN,1996,REG,13700,12200,15300,0.557,1.42
THOM,1184000,1184000,TN,1997,REG,10700,9850,11600,0.521,1.11
THOM,1184000,1184000,TN,1998,REG,10900,10000,11900,0.577,1.13
THOM,1184000,1184000,TN,1999,REG,8130,7680,8610,0.586,0.842
THOM,1184000,1184000,TN,2000,REG,11600,10600,12600,0.588,1.2
